Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
Saving graph to: /tmp/tmpfrayxgcd
step 0, training accuracy 0.1
step 10000, training accuracy 0.1
step 20000, training accuracy 0.05
step 30000, training accuracy 0.2
step 40000, training accuracy 0.55
step 50000, training accuracy 0.55
step 60000, training accuracy 0.2
step 70000, training accuracy 0.45
step 80000, training accuracy 0.6
step 90000, training accuracy 0.4
step 100000, training accuracy 0.25
step 110000, training accuracy 0.5
step 120000, training accuracy 0.65
step 130000, training accuracy 0.55
step 140000, training accuracy 0.45
step 150000, training accuracy 0.3
step 160000, training accuracy 0.65
step 170000, training accuracy 0.8
step 180000, training accuracy 0.8
step 190000, training accuracy 0.8
step 200000, training accuracy 0.7
step 210000, training accuracy 0.75
step 220000, training accuracy 0.65
step 230000, training accuracy 0.85
step 240000, training accuracy 0.8
step 250000, training accuracy 0.8
step 260000, training accuracy 0.75
step 270000, training accuracy 0.85
step 280000, training accuracy 0.7
step 290000, training accuracy 0.75
step 300000, training accuracy 0.75
step 310000, training accuracy 0.95
step 320000, training accuracy 0.7
step 330000, training accuracy 0.95
step 340000, training accuracy 0.85
step 350000, training accuracy 0.65
step 360000, training accuracy 0.9
step 370000, training accuracy 0.75
step 380000, training accuracy 0.85
step 390000, training accuracy 0.65
step 400000, training accuracy 0.7
step 410000, training accuracy 0.75
step 420000, training accuracy 0.75
step 430000, training accuracy 0.95
step 440000, training accuracy 0.4
step 450000, training accuracy 0.55
step 460000, training accuracy 0.95
step 470000, training accuracy 0.7
step 480000, training accuracy 0.7
step 490000, training accuracy 0.6
step 500000, training accuracy 0.85
step 510000, training accuracy 0.9
step 520000, training accuracy 0.9
step 530000, training accuracy 0.8
step 540000, training accuracy 0.9
step 550000, training accuracy 0.75
step 560000, training accuracy 0.9
step 570000, training accuracy 1
step 580000, training accuracy 0.9
step 590000, training accuracy 0.95
step 600000, training accuracy 0.95
step 610000, training accuracy 0.9
step 620000, training accuracy 0.95
step 630000, training accuracy 0.95
step 640000, training accuracy 0.9
step 650000, training accuracy 0.85
step 660000, training accuracy 1
step 670000, training accuracy 1
step 680000, training accuracy 0.95
step 690000, training accuracy 1
step 700000, training accuracy 0.9
step 710000, training accuracy 0.95
step 720000, training accuracy 0.95
step 730000, training accuracy 0.95
step 740000, training accuracy 0.95
step 750000, training accuracy 0.9
step 760000, training accuracy 0.8
step 770000, training accuracy 0.9
step 780000, training accuracy 1
step 790000, training accuracy 1
step 800000, training accuracy 1
step 810000, training accuracy 0.9
step 820000, training accuracy 0.95
step 830000, training accuracy 0.9
step 840000, training accuracy 1
step 850000, training accuracy 0.95
step 860000, training accuracy 0.95
step 870000, training accuracy 1
step 880000, training accuracy 0.95
step 890000, training accuracy 0.9
step 900000, training accuracy 0.95
step 910000, training accuracy 1
step 920000, training accuracy 1
step 930000, training accuracy 1
step 940000, training accuracy 0.95
step 950000, training accuracy 0.95
step 960000, training accuracy 0.9
step 970000, training accuracy 1
step 980000, training accuracy 1
step 990000, training accuracy 1
test accuracy 0.9377
