Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
Running Convolutional Neural Network Model
Saving graph to: /tmp/tmp4wverh1r
step 0, training accuracy 0.075
step 1000, training accuracy 0.2
step 2000, training accuracy 0.375
step 3000, training accuracy 0.6
step 4000, training accuracy 0.65
step 5000, training accuracy 0.85
step 6000, training accuracy 0.875
step 7000, training accuracy 0.9
step 8000, training accuracy 0.95
step 9000, training accuracy 0.95
step 10000, training accuracy 0.975
step 11000, training accuracy 0.95
step 12000, training accuracy 0.925
step 13000, training accuracy 0.95
step 14000, training accuracy 1
step 15000, training accuracy 0.975
step 16000, training accuracy 1
step 17000, training accuracy 0.95
step 18000, training accuracy 0.975
step 19000, training accuracy 0.95
step 20000, training accuracy 1
step 21000, training accuracy 1
step 22000, training accuracy 0.95
step 23000, training accuracy 0.975
step 24000, training accuracy 0.975
step 25000, training accuracy 0.95
step 26000, training accuracy 1
step 27000, training accuracy 1
step 28000, training accuracy 0.975
step 29000, training accuracy 1
step 30000, training accuracy 1
step 31000, training accuracy 1
step 32000, training accuracy 1
step 33000, training accuracy 0.975
step 34000, training accuracy 1
step 35000, training accuracy 1
step 36000, training accuracy 1
step 37000, training accuracy 1
step 38000, training accuracy 1
step 39000, training accuracy 1
step 40000, training accuracy 0.975
step 41000, training accuracy 1
step 42000, training accuracy 1
step 43000, training accuracy 1
step 44000, training accuracy 1
step 45000, training accuracy 1
step 46000, training accuracy 1
step 47000, training accuracy 1
step 48000, training accuracy 1
step 49000, training accuracy 1
step 50000, training accuracy 1
step 51000, training accuracy 0.975
step 52000, training accuracy 0.975
step 53000, training accuracy 1
step 54000, training accuracy 1
step 55000, training accuracy 1
step 56000, training accuracy 1
step 57000, training accuracy 1
step 58000, training accuracy 1
step 59000, training accuracy 1
step 60000, training accuracy 1
step 61000, training accuracy 1
step 62000, training accuracy 1
step 63000, training accuracy 1
step 64000, training accuracy 1
step 65000, training accuracy 1
step 66000, training accuracy 1
step 67000, training accuracy 1
step 68000, training accuracy 1
step 69000, training accuracy 1
